CIDR Prefix,Date Reissued
104.152.80.0/21,3/25/20
104.255.220.0/22,3/25/20
141.193.4.0/24,3/25/20
142.202.80.0/24,3/25/20
158.51.208.0/24,3/25/20
158.51.88.0/23,3/25/20
162.216.128.0/22,3/25/20
162.254.176.0/22,3/25/20
172.83.207.0/24,3/25/20
192.111.80.0/22,3/25/20
192.133.4.0/24,3/25/20
192.150.123.0/24,3/25/20
192.206.23.0/24,3/25/20
192.35.181.0/24,3/25/20
192.69.136.0/22,3/25/20
192.92.85.0/24,3/25/20
198.199.14.0/23,3/25/20
198.200.28.0/22,3/25/20
198.205.6.0/23,3/25/20
198.212.8.0/21,3/25/20
198.51.152.0/24,3/25/20
198.89.188.0/23,3/25/20
198.96.0.0/24,3/25/20
199.119.72.0/22,3/25/20
199.255.74.0/23,3/25/20
199.255.76.0/22,3/25/20
199.38.208.0/21,3/25/20
199.58.88.0/22,3/25/20
199.88.240.0/24,3/25/20
204.10.112.0/22,3/25/20
204.10.116.0/22,3/25/20
204.10.164.0/22,3/25/20
204.107.216.0/24,3/25/20
204.107.89.0/24,3/25/20
204.238.70.0/24,3/25/20
204.29.213.0/24,3/25/20
205.166.179.0/24,3/25/20
205.167.54.0/23,3/25/20
206.83.144.0/20,3/25/20
207.174.220.0/22,3/25/20
208.64.34.0/23,3/25/20
208.69.184.0/21,3/25/20
208.74.13.0/24,3/25/20
208.76.20.0/22,3/25/20
208.80.92.0/22,3/25/20
208.82.60.0/22,3/25/20
208.86.32.0/22,3/25/20
208.94.132.0/22,3/25/20
209.160.108.0/24,3/25/20
209.160.110.0/23,3/25/20
216.152.64.0/20,3/25/20
216.176.32.0/20,3/25/20
64.32.32.0/19,3/25/20
64.40.16.0/20,3/25/20
64.66.240.0/20,3/25/20
66.97.112.0/20,3/25/20
67.208.48.0/20,3/25/20
67.219.128.0/20,3/25/20
134.195.0.0/16,6/25/20
139.64.128.0/22,6/25/20
162.210.132.0/22,6/25/20
162.246.232.0/23,6/25/20
162.248.172.0/22,6/25/20
170.39.0.0/16,6/25/20
192.102.13.0/24,6/25/20
192.124.44.0/24,6/25/20
192.140.0.0/24,6/25/20
192.163.24.0/22,6/25/20
192.163.28.0/22,6/25/20
192.245.195.0/24,6/25/20
192.67.0.0/24,6/25/20
192.84.24.0/24,6/25/20
192.92.85.0/24,6/25/20
198.13.74.0/23,6/25/20
198.169.0.0/24,6/25/20
198.38.13.0/24,6/25/20
199.101.216.0/22,6/25/20
199.245.176.0/24,6/25/20
199.248.189.0/24,6/25/20
199.255.148.0/22,6/25/20
204.11.144.0/22,6/25/20
204.124.203.0/24,6/25/20
204.138.99.0/24,6/25/20
204.15.208.0/22,6/25/20
204.15.212.0/22,6/25/20
204.87.203.0/24,6/25/20
208.95.4.0/22,6/25/20
216.117.220.0/24,6/25/20
216.185.208.0/22,6/25/20
216.185.212.0/22,6/25/20
216.185.216.0/22,6/25/20
216.185.220.0/22,6/25/20
