timestamp,total_requests,requests_22,requests_23,requests_24,added_22,added_23,added_24,added_total,removed_22,removed_23,removed_24,removed_total,net_change,flexible_requests,exact_requests,avg_flexibility,age_0_3mo_22,age_0_3mo_23,age_0_3mo_24,age_3_6mo_22,age_3_6mo_23,age_3_6mo_24,age_6_12mo_22,age_6_12mo_23,age_6_12mo_24,age_12_24mo_22,age_12_24mo_23,age_12_24mo_24,age_24plus_22,age_24plus_23,age_24plus_24,avg_22_cleared_per_quarter,avg_23_cleared_per_quarter,avg_24_cleared_per_quarter,estimated_years_22,estimated_years_23,estimated_years_24
2023-09-07T13:56:45+00:00,697,349,67,281,349,67,281,697,0,0,0,0,697,24,673,0.05,47,12,64,74,14,58,144,29,125,66,12,52,0,0,0,9.8,5.4,18.2,9.0,3.2,4.0
2024-06-05T03:58:15+00:00,705,340,72,293,340,72,293,705,349,67,281,697,8,18,687,0.04,51,13,54,43,7,47,96,24,97,136,28,109,0,0,0,10.5,5.7,19.2,8.2,3.2,4.0
2024-10-01T15:13:41+00:00,824,376,78,370,376,78,370,824,340,72,293,705,119,15,809,0.03,69,5,91,51,15,61,88,15,88,158,39,144,0,0,0,11.1,6.1,20.5,8.5,3.2,4.8
2025-05-11T09:07:26+00:00,893,400,79,414,400,79,414,893,376,78,370,824,69,22,871,0.04,62,14,79,61,14,63,116,17,164,144,31,128,0,0,0,11.8,6.5,24.1,8.5,3.2,4.5
2025-10-24T16:15:21.016+00:00,455,216,35,204,6,0,4,10,0,0,2,2,8,12,443,0.04,87,15,67,51,7,55,67,14,83,2,0,6,0,1,0,12.8,6.9,27.1,4.2,1.5,2.0
2025-10-28T22:58:47.554+00:00,460,217,35,208,1,0,4,5,0,0,0,0,5,13,447,0.04,82,16,71,54,6,50,69,15,88,2,0,6,0,1,0,12.8,6.9,27.1,4.2,1.5,2.0
2025-11-03T21:48:46.830+00:00,476,226,35,215,9,0,7,16,0,0,0,0,16,13,463,0.04,88,15,74,53,7,48,73,15,93,2,0,7,0,1,0,12.8,6.9,27.1,4.5,1.5,2.0
2025-11-10T20:14:17.895+00:00,487,231,35,221,5,0,6,11,0,0,0,0,11,13,474,0.03,88,12,76,53,8,48,78,17,96,2,0,8,0,1,0,12.8,6.9,27.1,4.8,1.5,2.2
2025-11-18T23:29:56.981+00:00,497,234,36,227,5,1,6,12,2,0,0,2,10,13,484,0.03,83,12,76,58,9,50,81,17,100,2,0,8,0,1,0,12.8,6.9,27.1,4.8,1.5,2.2
2025-11-24T20:24:09.904+00:00,512,242,39,231,8,3,4,15,0,0,0,0,15,14,498,0.04,89,14,74,57,9,56,84,17,101,2,0,8,0,1,0,12.8,6.9,27.1,4.8,1.5,2.2
2025-12-02T23:19:29.502+00:00,517,244,39,234,3,0,4,7,1,0,1,2,5,14,503,0.03,89,12,75,55,10,54,88,18,105,2,0,8,0,1,0,12.8,6.9,27.1,5.0,1.5,2.2
2025-12-09T23:58:51.758+00:00,524,248,40,236,4,1,3,8,0,0,1,1,7,15,509,0.04,88,11,79,53,11,45,95,18,113,2,0,8,0,1,0,12.8,6.9,27.1,5.0,1.5,2.2
2025-12-16T22:53:53.618+00:00,537,252,39,246,4,0,10,14,0,1,0,1,13,15,522,0.04,91,11,85,52,11,46,97,16,116,2,1,8,0,1,0,12.8,6.9,27.1,5.0,1.5,2.5
2025-12-23T21:54:28.226+00:00,545,256,40,249,7,1,5,13,3,0,2,5,8,15,530,0.03,88,12,80,56,11,50,100,16,120,2,1,8,0,1,0,12.8,6.9,27.1,5.2,1.5,2.5
2025-12-30T22:47:51.085+00:00,551,259,40,252,3,0,4,7,0,0,1,1,6,15,536,0.03,86,11,76,56,12,54,105,16,123,2,1,8,0,1,0,12.8,6.9,27.1,5.2,1.5,2.5
2026-01-06T16:45:34.811+00:00,563,264,42,257,5,2,5,12,0,0,0,0,12,15,548,0.03,88,13,75,53,11,59,111,17,124,2,1,8,0,1,0,12.8,6.9,27.1,5.2,1.8,2.5
